X,Y,PLOTID,LON,LAT,strate,prob_chang,ID,INT1_2000,INT1_2010,INT1_2015,INT1_2020,INT1_2021,CHG_20_21,CHG_00_10,CHG_10_15,CHG_15_20,IC,COMMENT.,P-I_name
8646.95899118832,719483.04356027,"37860","-7.4395876429381","6.48961561093332","2","0.280946031746032","161","30","30","30","30","30",Stable,Stable,Stable,Stable,"1",,GJ
8520.93487034919,740539.397673565,"37881","-7.44241551805575","6.67950812371825","2","0.208080952380952","162","50","50","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
10581.1500449103,538998.891325199,"38355","-7.40973409299107","4.86191151077294","3","0.511165079365079","163","50","50","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
10831.4613087647,688383.326353848,"39158","-7.41749367854093","6.20929550951474","1","0.170377777777778","164","22","22","22","22","22",Stable,Stable,Stable,Stable,"1",,GJ
12769.3486523409,495874.566817598,"39640","-7.38763596747713","4.47305850700076","2","0.412706349206349","165","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
12048.50550967,649272.501210054,"39790","-7.40367199912698","5.85663054581789","1","0.0252","166","12","12","12","12","12",Stable,Stable,Stable,Stable,"1",,GJ
11856.5604832949,684364.428319517,"39825","-7.40795389189845","6.17312495531999","1","0.00933333333333333","167","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,GJ
11504.1160010827,744522.902771712,"39885","-7.41582921185965","6.71567796183428","2","0.2682","168","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,GJ
13730.6336319124,505894.284821508,"40320","-7.37953977367339","4.56348981888969","2","0.33131746031746","169","14","14","14","14","14",Stable,Stable,Stable,Stable,"1",,GJ
13124.9778562057,635228.133527467,"40449","-7.39299546557856","5.73003177339301","2","0.369352380952381","170","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
13827.6536455035,690363.489905473,"41177","-7.39063874408291","6.22738076813719","1","0.00533333333333333","171","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,GJ
13435.086256062,756536.371351651,"41243","-7.39939196871356","6.82418715548028","3","0.81532380952381","172","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
15714.7044491417,510894.834248464,"41670","-7.36197962249099","4.60870538985609","2","0.410942857142857","173","23","23","23","23","23",Stable,Stable,Stable,Stable,"1",,GJ
15332.4089198638,595109.789535786,"41754","-7.37044746699186","5.36831796115933","2","0.3481","174","21","21","21","21","21",Stable,Stable,Stable,Stable,"1",,GJ
15029.1987509972,654261.865761441,"41813","-7.37717754985483","5.90184425553684","1","0.0103333333333333","175","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,GJ
14991.3264455544,661279.973960956,"41820","-7.37801903798264","5.96514332588565","1","0.00533333333333333","176","11","11","11","11","11",Stable,Stable,Stable,Stable,"1",,GJ
14505.4797353348,745498.439693907,"41904","-7.38883130393851","6.72472041305198","2","0.233438095238095","177","23","50","50","50","23",Stable,Stable,Stable,Stable,"1",,GJ
